nombre,direccion,pueblo,telefono,email,web,rating
ParlaDent,"Calle Iglesia, 2, 28981",Parla,+34 916 98 89 10,,,4.6
Clínica Dental (Virgen del Rocío),"C. Virgen del Rocío, 3, 28982",Parla,+34 916 99 63 58,,,4.5
Bedental,"Av. de Ronda, 70, 28981",Parla,+34 916 05 00 69,,,4.4
Clínica Dental Adeslas Fuenlabrada,"Calle Luis Sauquillo, C. Cuartel, 28944",Fuenlabrada,+34 900 229 922,,,4.5
Clínica Dental Medicalia,"C. de Italia, 6, 28943",Fuenlabrada,+34 685 69 54 56,,,4.8
Clínica Dental Nobel,"C. del Humilladero, 4, 28945",Fuenlabrada,+34 916 15 77 60,,,4.9
Clínica Dental CB,"C. de Delicias, 3, 28945",Fuenlabrada,+34 916 97 50 73,,,4.7
Clínica Dental Milenium Fuenlabrada,"C/ de Móstoles, 58, 28943",Fuenlabrada,+34 914 98 91 00,,,4.3
Clínica Dental Más Que Sonrisas,"Paseo del Pireo, 2, 28943",Fuenlabrada,+34 916 49 10 98,,,4.9
Clínica Dental Ortodentist,"Av. de Europa, 2, 28943",Fuenlabrada,+34 916 15 15 00,,,4.6
Clínica AC Dental Fuenlabrada,"C/ de Móstoles, 36, 28943",Fuenlabrada,+34 916 06 04 21,,,4.5
Clínica DentalCora,"C. de Portugal, 33, local 120, 28943",Fuenlabrada,+34 912 39 40 19,,,4.6
Clínica Dental Fuensalud,"",Fuenlabrada,+34 610 89 27 85,,,
Clínica San Juan Dental,"C. Extremadura, 17, 28903",Getafe,+34 916 83 84 53,,,
Clínica Dental Calderón,"C. Eugenio Serrano, 55A, 28904",Getafe,+34 916 83 73 35,,,4.2
Clínica Dental GERONA,"Av. España, 21, 28903",Getafe,+34 916 83 79 12,,,
NiceSmile Odontología Estética,"Pl. del Canto Redondo, 3, 28901",Getafe,+34 673 65 34 66,,,
Mundo Dental,"Av. de los Ángeles, 31, 28903",Getafe,+34 916 01 95 46,,,
I+DENT Imasdent Getafe,"C. Madrid, 4, 28901",Getafe,+34 689 21 71 30,,,4.8
Clínica Más Dental Getafe,"C. Carabanchel, 14, 28902",Getafe,+34 912 98 11 11,,,4.8
Clínica Grupo Dental Cibeles,"C. Escuelas Pias, 2, 28901",Getafe,+34 690 22 53 21,,,4.7
Clínica Dental Del Saz Camacho,"Calle Badajoz, 4, 28903",Getafe,+34 916 01 92 29,,,4.7
Centro Dental Dalí I,"C. Salvador Dalí, 6, 28320",Pinto,+34 916 92 49 14,,,4.3
Clínica Dental Carlos Morganti,"C. de la Buena Madre, 2, 28320",Pinto,+34 916 91 11 02,,,
Clínica Dental Pinto,"C. de Sta. Teresa, 5, 28320",Pinto,+34 649 19 17 64,,,4.8
Clínica Dental Suite Pinto,"Av. de Antonio López, 17, 28320",Pinto,+34 601 29 41 47,,,3.9
Clínica Dental Dream,"Av. Juan Pablo II, 18, 28320",Pinto,+34 912 40 74 84,,,4.7
Caredent Pinto,"C. Alfaro, 10, 28320",Pinto,+34 916 91 69 47,,,4.8
Katherina Dental,"C. de San Antón, 2, 28320",Pinto,+34 916 92 64 96,,,
Clínica Dental Suárez Pinto,"Calle Sevilla, 15, 28320",Pinto,+34 916 92 15 70,,,
Clínica Dental Milenium Pinto,"C. de las Alpujarras, 4-6, 28320",Pinto,+34 917 32 63 75,,,4.3
García & Velarde Dental,"C. Bardenas, 5, 28915",Leganés,+34 912 19 47 58,,,4.8
Centro Dental Leganés,"Pl. Salvador, 7, 28911",Leganés,+34 916 93 59 54,,,4.6
Clínica Dental Plaza Mayor,"Plaza Mayor de Leganés, 22, 1B, 28911",Leganés,+34 910 82 53 47,,,
Massident Leganés,"Av. Juan Carlos I, 2, 28912",Leganés,+34 915 45 89 02,,,4.6
Clínica Guillén Dental,"Pl. Fuente Honda, 3, Local 1, 28911",Leganés,+34 911 13 82 68,,,4.8
Caredent Zarzaquemada,"Av. Rey Juan Carlos I, 72, 28916",Leganés,+34 918 27 21 59,,,4.8
Clínica Dental Bel,"C. de Hernán Cortés, 5A, 28911",Leganés,+34 916 93 24 24,,,4.9
Clínica Dental Milenium Leganés,"Av. de Fuenlabrada, 79, 28913",Leganés,+34 918 39 89 86,,,
Ledentis,"C. Rio Guadalquivir, 4",Leganés,+34 916 93 41 25,,,
Clínica Dental Egle,,Leganés,+34 916 85 76 73,,,
Clínica Dental Dr Garrido,"Pl. de Ventura Rodríguez, 10, 28350",Ciempozuelos,+34 635 39 96 76,,,
Clínica Dental Apolonia,"C. España, 9, 28350",Ciempozuelos,+34 918 93 30 47,,,4.9
Hugo Roberto Giménez González,"C. España, 4, 28350",Ciempozuelos,+34 918 01 55 96,,,
Clínica Dental Suárez Ciempozuelos,"C. de Jerónimo del Moral, 17, 28350",Ciempozuelos,+34 918 08 66 87,,,4.8
Dental Company Ciempozuelos,,Ciempozuelos,+34 918 21 62 95,,,
Clínica Dental Mar de Sonrisas,,Ciempozuelos,+34 693 93 41 25,,,
Clínica Dental Del Arco,,Ciempozuelos,+34 910 85 22 64,,,
Nya Dental,,Ciempozuelos,+34 918 09 04 46,,,
