nombre,direccion,pueblo,telefono,email,web,rating
ParlaDent,"Calle Iglesia, 2, 28981",Parla,+34 916 98 89 10,nan,nan,4.6
Clínica Dental (Virgen del Rocío),"C. Virgen del Rocío, 3, 28982",Parla,+34 916 99 63 58,nan,nan,4.5
Bedental,"Av. de Ronda, 70, 28981",Parla,+34 916 05 00 69,nan,nan,4.4
Clínica Dental Adeslas Fuenlabrada,"Calle Luis Sauquillo, C. Cuartel, 28944",Fuenlabrada,+34 900 229 922,nan,nan,4.5
Clínica Dental Medicalia,"C. de Italia, 6, 28943",Fuenlabrada,+34 685 69 54 56,nan,nan,4.8
Clínica Dental Nobel,"C. del Humilladero, 4, 28945",Fuenlabrada,+34 916 15 77 60,nan,nan,4.9
Clínica Dental CB,"C. de Delicias, 3, 28945",Fuenlabrada,+34 916 97 50 73,nan,nan,4.7
Clínica Dental Milenium Fuenlabrada,"C/ de Móstoles, 58, 28943",Fuenlabrada,+34 914 98 91 00,nan,nan,4.3
Clínica Dental Más Que Sonrisas,"Paseo del Pireo, 2, 28943",Fuenlabrada,+34 916 49 10 98,nan,nan,4.9
Clínica Dental Ortodentist,"Av. de Europa, 2, 28943",Fuenlabrada,+34 916 15 15 00,nan,nan,4.6
Clínica AC Dental Fuenlabrada,"C/ de Móstoles, 36, 28943",Fuenlabrada,+34 916 06 04 21,nan,nan,4.5
Clínica DentalCora,"C. de Portugal, 33, local 120, 28943",Fuenlabrada,+34 912 39 40 19,nan,nan,4.6
Clínica Dental Fuensalud,nan,Fuenlabrada,+34 610 89 27 85,nan,nan,nan
Clínica San Juan Dental,"C. Extremadura, 17, 28903",Getafe,+34 916 83 84 53,nan,nan,nan
Clínica Dental Calderón,"C. Eugenio Serrano, 55A, 28904",Getafe,+34 916 83 73 35,nan,nan,4.2
Clínica Dental GERONA,"Av. España, 21, 28903",Getafe,+34 916 83 79 12,nan,nan,nan
NiceSmile Odontología Estética,"Pl. del Canto Redondo, 3, 28901",Getafe,+34 673 65 34 66,nan,nan,nan
Mundo Dental,"Av. de los Ángeles, 31, 28903",Getafe,+34 916 01 95 46,nan,nan,nan
I+DENT Imasdent Getafe,"C. Madrid, 4, 28901",Getafe,+34 689 21 71 30,nan,nan,4.8
Clínica Más Dental Getafe,"C. Carabanchel, 14, 28902",Getafe,+34 912 98 11 11,nan,nan,4.8
Clínica Grupo Dental Cibeles,"C. Escuelas Pias, 2, 28901",Getafe,+34 690 22 53 21,nan,nan,4.7
Clínica Dental Del Saz Camacho,"Calle Badajoz, 4, 28903",Getafe,+34 916 01 92 29,nan,nan,4.7
Centro Dental Dalí I,"C. Salvador Dalí, 6, 28320",Pinto,+34 916 92 49 14,nan,nan,4.3
Clínica Dental Carlos Morganti,"C. de la Buena Madre, 2, 28320",Pinto,+34 916 91 11 02,nan,nan,nan
Clínica Dental Pinto,"C. de Sta. Teresa, 5, 28320",Pinto,+34 649 19 17 64,nan,nan,4.8
Clínica Dental Suite Pinto,"Av. de Antonio López, 17, 28320",Pinto,+34 601 29 41 47,nan,nan,3.9
Clínica Dental Dream,"Av. Juan Pablo II, 18, 28320",Pinto,+34 912 40 74 84,nan,nan,4.7
Caredent Pinto,"C. Alfaro, 10, 28320",Pinto,+34 916 91 69 47,nan,nan,4.8
Katherina Dental,"C. de San Antón, 2, 28320",Pinto,+34 916 92 64 96,nan,nan,nan
Clínica Dental Suárez Pinto,"Calle Sevilla, 15, 28320",Pinto,+34 916 92 15 70,nan,nan,nan
Clínica Dental Milenium Pinto,"C. de las Alpujarras, 4-6, 28320",Pinto,+34 917 32 63 75,nan,nan,4.3
García & Velarde Dental,"C. Bardenas, 5, 28915",Leganés,+34 912 19 47 58,nan,nan,4.8
Centro Dental Leganés,"Pl. Salvador, 7, 28911",Leganés,+34 916 93 59 54,nan,nan,4.6
Clínica Dental Plaza Mayor,"Plaza Mayor de Leganés, 22, 1B, 28911",Leganés,+34 910 82 53 47,nan,nan,nan
Massident Leganés,"Av. Juan Carlos I, 2, 28912",Leganés,+34 915 45 89 02,nan,nan,4.6
Clínica Guillén Dental,"Pl. Fuente Honda, 3, Local 1, 28911",Leganés,+34 911 13 82 68,nan,nan,4.8
Caredent Zarzaquemada,"Av. Rey Juan Carlos I, 72, 28916",Leganés,+34 918 27 21 59,nan,nan,4.8
Clínica Dental Bel,"C. de Hernán Cortés, 5A, 28911",Leganés,+34 916 93 24 24,nan,nan,4.9
Clínica Dental Milenium Leganés,"Av. de Fuenlabrada, 79, 28913",Leganés,+34 918 39 89 86,nan,nan,nan
Ledentis,"C. Rio Guadalquivir, 4",Leganés,+34 916 93 41 25,nan,nan,nan
Clínica Dental Egle,nan,Leganés,+34 916 85 76 73,nan,nan,nan
Clínica Dental Dr Garrido,"Pl. de Ventura Rodríguez, 10, 28350",Ciempozuelos,+34 635 39 96 76,nan,nan,nan
Clínica Dental Apolonia,"C. España, 9, 28350",Ciempozuelos,+34 918 93 30 47,nan,nan,4.9
Hugo Roberto Giménez González,"C. España, 4, 28350",Ciempozuelos,+34 918 01 55 96,nan,nan,nan
Clínica Dental Suárez Ciempozuelos,"C. de Jerónimo del Moral, 17, 28350",Ciempozuelos,+34 918 08 66 87,nan,nan,4.8
Dental Company Ciempozuelos,nan,Ciempozuelos,+34 918 21 62 95,nan,nan,nan
Clínica Dental Mar de Sonrisas,nan,Ciempozuelos,+34 693 93 41 25,nan,nan,nan
Clínica Dental Del Arco,nan,Ciempozuelos,+34 910 85 22 64,nan,nan,nan
Nya Dental,nan,Ciempozuelos,+34 918 09 04 46,nan,nan,nan
Ceam Dental,"C. de los Cantos, 1, 1ºA, 28922",Alcorcón,+34 916 43 77 32,,,
Clínica Dental El Greco,"C. Mayor, 65, 28921",Alcorcón,+34 916 43 12 12,,,4.2
Clínica Dental Doctor Martín,"Av. las Retamas, 54, 28922",Alcorcón,+34 916 44 11 00,,,3.5
Clínica Dental Santa Clara,"C. Los Robles, 7, 28922",Alcorcón,+34 916 44 96 68,,,
Centre Dental,"Av. de los Carabancheles, 24, 28921",Alcorcón,,,,
Clínica Dental Dra. Sánchez Pérez/ Dr. Villanueva,"C. Príncipe Don Juan Carlos, 1, 28924",Alcorcón,+34 916 10 00 76,,,
Alcorcón Dental 2000,"C. Fuenlabrada, 11, 28921",Alcorcón,+34 916 44 99 71,,,
Clínica Dental del Nuncio,"Pl. del Nuncio, 7, 28921",Alcorcón,+34 916 44 34 81,,,
Clínica Dental Alemana,"C. Santo Domingo, 15, 28921",Alcorcón,+34 916 43 55 93,,,
Clínica Dental Más Que Sonrisas | Alcorcón,"Av. las Retamas, 12, 28922",Alcorcón,+34 916 43 34 50,,,4.9
Clinica Dental Doctora Herrero,"Av. España, 28220",Majadahonda,+34 916 38 55 58,,,
Clinica dental y Medico-Estetica Dra.Teresa Llado Diaz,"Calle Dr. Barraquer, 9, 28220",Majadahonda,+34 916 38 05 05,,,
Clínica Dental Ziase,"Calle del Dr Calero, 19, local 30, 28220",Majadahonda,+34 916 34 31 00,,,
Clínica Dental Centro Médico Majadahonda,"C. Rosalía de Castro, 2, s/n, 28220",Majadahonda,+34 916 39 00 37,,,4.4
CLÍNICA DENTAL MAJADAHONDA ZENTAL CLINIC,"Av. España, 46, 28220",Majadahonda,+34 911 73 33 32,,,4.9
Dentista Majadahonda | Hospital Dental Majadahonda,"Av. España, 18, 28220",Majadahonda,+34 910 52 54 85,,,4.9
Ortho Smile,"Av. España, 54, 28220",Majadahonda,+34 916 39 02 20,,,
Clínica Dental Firstdental Majadahonda,"C. Gran Vía, 21, Local, 28220",Majadahonda,+34 910 05 20 69,,,4.6
Clínica Dental Nice Dent,"Av. España, 80, 28220",Majadahonda,+34 916 34 59 84,,,4.6
Clínica Dental Zorita & Navarro,"Av. Dr. Marañón, 24, 28220",Majadahonda,+34 913 92 80 06,,,4.4
Clinica Dental Dr. Martín,"C. Ramón y Cajal, 5, 7, 28850",Torrejón De Ardoz,+34 916 77 13 89,,,
"Dr. Diego Pérez Vilariño, Dentista","Av de las Fronteras, nº 3, 28850",Torrejón De Ardoz,,,,
Clínica Dental Olga Solana,"C. Asturias, 1, 28850",Torrejón De Ardoz,+34 691 80 68 67,,,4.5
Clínica Dental Javier Martín Alonso,"C. Ramón y Cajal, 1, 28850",Torrejón De Ardoz,+34 916 77 13 89,,,
Clínica Marquesas,"Av. de los Fresnos, 20, 28850",Torrejón De Ardoz,+34 916 56 50 35,,,2.7
CLINICA NIETO CUNNILL,"C. de Cervantes, 4, 28850",Torrejón De Ardoz,+34 916 77 76 58,,,
Clínica San José,"C. Dublin, 1, 28850",Torrejón De Ardoz,+34 916 77 47 01,,,2.9
Henlo Dental,"C. Maestro Barbieri, 10, 28850",Torrejón De Ardoz,+34 669 77 16 86,,,
Dr.Ardizone,"C. de Londres, 28, 28850",Torrejón De Ardoz,+34 916 75 09 71,,,
Centro Médico Dental – Alonso Dental,"C. Pesquera, 1, 28850",Torrejón De Ardoz,+34 916 56 64 03,,,4.9
